date,Max. company power demand,Average company power demand,Min. company power demand
2022-10-12 05:30:00,2.804,2.5719999999999996,2.1239999999999997
2022-10-12 05:45:00,2.836,2.5853333333333333,2.46
2022-10-12 06:00:00,3.1919999999999997,3.0453333333333332,2.792
2022-10-12 06:15:00,4.3839999999999995,3.5,2.864
2022-10-12 06:30:00,6.0760000000000005,4.226666666666667,3.08
2022-10-12 06:45:00,8.32,5.042666666666666,3.216
2022-10-12 07:00:00,11.128,9.186666666666667,7.4079999999999995
2022-10-12 07:15:00,16.468,14.665333333333335,13.156
2022-10-12 07:30:00,24.66,20.692,17.904
2022-10-12 07:45:00,32.34,26.477333333333334,21.560000000000002
2022-10-12 08:00:00,38.484,31.36266666666667,25.168000000000003
2022-10-12 08:15:00,43.036,35.22,28.471999999999998
2022-10-12 08:30:00,46.160000000000004,38.04666666666667,31.208000000000002
2022-10-12 08:45:00,48.036,39.84133333333333,33.096
2022-10-12 09:00:00,48.864000000000004,40.657333333333334,33.972
2022-10-12 09:15:00,48.948,40.772,34.088
2022-10-12 09:30:00,48.624,40.51466666666667,33.800000000000004
2022-10-12 09:45:00,48.224000000000004,40.217333333333336,33.472
2022-10-12 10:00:00,48.008,40.136,33.376
2022-10-12 10:15:00,47.943999999999996,40.22266666666666,33.464
2022-10-12 10:30:00,47.924,40.35333333333333,33.604
2022-10-12 10:45:00,47.843999999999994,40.406666666666666,33.664
2022-10-12 11:00:00,47.612,40.27866666666667,33.528000000000006
2022-10-12 11:15:00,47.160000000000004,39.93333333333334,33.176
2022-10-12 11:30:00,46.436,39.352,32.592
2022-10-12 11:45:00,45.388,38.51733333333333,31.772
2022-10-12 12:00:00,43.964,37.406666666666666,30.712
2022-10-12 12:15:00,42.164,36.008,29.444
2022-10-12 12:30:00,39.992,34.303999999999995,28.02
2022-10-12 12:45:00,37.444,32.27466666666667,26.476
2022-10-12 13:00:00,34.616,29.986666666666665,24.9
2022-10-12 13:15:00,31.916,27.8,23.524
2022-10-12 13:30:00,29.855999999999998,26.167999999999996,22.636
2022-10-12 13:45:00,28.936,25.530666666666665,22.503999999999998
2022-10-12 14:00:00,29.456,26.152,23.272000000000002
2022-10-12 14:15:00,30.956,27.582666666666665,24.528
2022-10-12 14:30:00,32.768,29.182666666666666,25.716
2022-10-12 14:45:00,34.227999999999994,30.321333333333328,26.288
